"id","affiliation","alias","dataversetype","description","facetroot","guestbookroot","metadatablockroot","name","permissionroot","templateroot","themeroot","defaultcontributorrole_id","defaulttemplate_id","storagedriver","metadatalanguage","externallabelsetname","metadatablockfacetroot","filepidsenabled","guestbookatrequest","pidgeneratorspecs"
"1",NULL,"AUSSDA","UNCATEGORIZED","<h3>Find data, share data, and cite data with confidence.</h3>
Get started! Sign in with your institutional account to get fast and easy access to most of our datasets and accompanying documentation. Search for datasets by entering topics you are interested in into the search bar. Discover collections in Dataverses directly below. <a href=""https://www.aussda.at/en/faq-downloads/"">FAQ & Downloads</a>.",True,False,True,"AUSSDA",True,False,True,"6",NULL,NULL,NULL,NULL,False,NULL,NULL,NULL
"83","AUSSDA","public","ORGANIZATIONS_INSTITUTIONS","<h3>Find data, share data, and cite data with confidence.</h3>
AUSSDA's primary collection is the public dataverse. ",False,False,False,"Public",True,False,True,"6",NULL,NULL,NULL,NULL,False,NULL,NULL,NULL
"84","University of Vienna, University of Salzburg, University of Innsbruck","autnes","RESEARCH_GROUP","AUTNES - Austrian National Election Study is engaged in the comprehensive social science analysis of Austrian national elections. AUTNES is part of the Vienna Center for Electoral Research (VieCER).",False,True,False,"AUTNES",True,False,True,"6",NULL,NULL,NULL,NULL,False,NULL,NULL,NULL
"85","Universität Graz, Universität Linz","ssoe-issp","RESEARCH_GROUP","The <b>Social Survey Austria</b> (SSÖ) is a programme for monitoring changes in attitudes and value orientations in the Austrian population. The questionnaire consists of annual modules of the <a href=""http://www.issp.org/"">International Social Survey Programme</a> (ISSP), collected in around 45 countries, and a national part with questions on current social issues in Austria. The surveys are based on representative samples of the Austrian resident population aged 18 and over. By replicating question complexes in the survey waves and linking the SSÖ and ISSP, it is possible to analyse development processes and social change in Austria over time and in an international comparison. The surveys are supplemented and deepened by accompanying methodological studies.",False,False,False,"SSÖ-ISSP",True,False,True,"6",NULL,NULL,NULL,NULL,False,NULL,NULL,NULL
"86","FORS, GESIS","smif","JOURNALS","<h3>Replication data for articles in the peer-reviewed online journal <i><a href=""http://surveyinsights.org/"">Survey Methods: Insights from the Field</a></i></h3>
AUSSDA is your trusted source for social sciences data in Austria and beyond. Find data, share data, and cite data with confidence.
If you are interested in establishing your own dataverse or would like to publish your data with AUSSDA please contact us. 
Email: <a href=""mailto:info@aussda.at?Subject=data.aussda.at"">info@aussda.at</a>
Tel: +431427715323",False,False,False,"Survey Methods: Insights from the Field",True,False,True,"6",NULL,NULL,NULL,NULL,False,NULL,NULL,NULL
"92","Universität Wien, Statistik Austria, Universitäten Linz, Graz, Salzburg, Klagenfurt, ÖAW, MODUL University","puma","RESEARCH_GROUP","PUMA is a cooperation initiative to establish an Austrian platform for surveys, methods and empirical analyses. Under the University of Vienna’s management, the partners Statistics Austria, the Universities of Linz, Innsbruck, Graz, Salzburg and Klagenfurt as well as the the Austrian Academy of Sciences and the MODUL University aim to establish an Austrian centre of excellence for quantitative methods of empirical social research and high-quality data collection.",False,False,False,"PUMA",True,False,True,"6",NULL,NULL,NULL,NULL,False,NULL,NULL,NULL
"96","Statistics Austria","statistikaustria","ORGANIZATIONS_INSTITUTIONS","<p>Data from the Austrian National Statistics Office.</p>
<p><a href=""https://www.statistik.at/ueber-uns/erhebungen/personen-und-haushaltserhebungen/mikrozensus"">Microcensus</a> data are now available free of charge via AUSSDA. This offer includes current data, ad-hoc modules and historical surveys since 1970. This repository is constantly being expanded with additional data. 
<b>Please contact <a href=""mailto:info@aussda.at?subject=Request Microcensus"">info@aussda.at</a> if you would like to get access to this data.</b></p>",False,False,False,"Statistik Austria",True,False,True,"6",NULL,NULL,NULL,NULL,False,NULL,NULL,NULL
"167","Österreichische Gesellschaft für Kommunikationswissenschaft","medienjournal","JOURNALS","<h3>Replication data for articles of the <i><a href=""https://ejournals.facultas.at/index.php/medienjournal"">MedienJournal - Zeitschrift für Medien-und Kommunikationsforschung</a></i></h3>

The MedienJournal is the double-blind, peer-reviewed quarterly journal of the Austrian Society of Communication (ÖGK).",False,False,False,"MedienJournal",True,False,True,"6",NULL,NULL,NULL,NULL,False,NULL,NULL,NULL
"190","University of Salzburg - Division of Music and Dance Study","newmusicfestivals","RESEARCH_PROJECTS","<h2>New Music Festivals as Agorai–Their Formation and Impact on Warsaw Autumn, Festival d’Automne in Paris, and Wien Modern Since 1980</h2>
This study claims to be the first in Musicology to pursue the topic using a methodically complex and multidimensional approach. It captures the International––especially the European––scene of new (art-)music for the first time transnationally and mediates, starting from Austria, between national cultures of music research and its neighboring disciplines. The large audience survey from 2014 is a central part of this project. The research team developed a set of ca. 35 questions and conducted the survey at 14 events in Paris, Vienna, and Warsaw.
",False,False,False,"New Music Festivals as Agorai",True,False,True,"6",NULL,NULL,NULL,NULL,False,NULL,NULL,NULL
"196","VISSA - Verein für interdisziplinäre sozialwissenschaftliche Studien und Analysen","SWS-Rundschau","JOURNALS","<h3>Replication data for articles of the <i><a href=""http://www.sws-rundschau.at/index.php"">SWS-Rundschau</a></i></h3>

The SWS-Rundschau is the quarterly journal of the Verein für interdisziplinäre sozialwissenschaftliche Studien und Analysen (VISSA).",False,False,False,"SWS-Rundschau",True,False,True,"6",NULL,NULL,NULL,NULL,False,NULL,NULL,NULL
