#metadataBlock	name	dataverseAlias   displayName													
	geospatial		Geospatial Metadata												
#datasetField	name	title	description	watermark	 fieldType	displayOrder	displayFormat	advancedSearchField	allowControlledVocabulary	allowmultiples	facetable	displayoncreate	required	parent	metadatablock_id
	geographicCoverage	Geographic Coverage	Information on the geographic coverage of the data. Includes the total geographic scope of the data.		none	0		FALSE	FALSE	TRUE	FALSE	FALSE	TRUE		geospatial
	country	Country / Nation	The country or nation that the Dataset is about.		text	1	#VALUE,	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	geographicCoverage	geospatial
	state	State / Province	The state or province that the Dataset is about. Use GeoNames for correct spelling and avoid abbreviations.		text	2	#VALUE,	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	geographicCoverage	geospatial
	city	City	The name of the city that the Dataset is about. Use GeoNames for correct spelling and avoid abbreviations.		text	3	#VALUE,	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	geographicCoverage	geospatial
	otherGeographicCoverage	Other	Other information on the geographic coverage of the data.		text	4	#VALUE,	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	geographicCoverage	geospatial
	geographicUnit	Geographic Unit	Lowest level of geographic aggregation covered by the Dataset, e.g., village, county, region.		text	5		TRUE	FALSE	TRUE	TRUE	FALSE	FALSE		geospatial
	geographicBoundingBox	Geographic Bounding Box	The fundamental geometric description for any Dataset that models geography is the geographic bounding box. It describes the minimum box, defined by west and east longitudes and north and south latitudes, which includes the largest geographic extent of the  Dataset's geographic coverage. This element is used in the first pass of a coordinate-based search. Inclusion of this element in the codebook is recommended, but is required if the bound polygon box is included.		none	6		FALSE	FALSE	TRUE	FALSE	FALSE	FALSE		geospatial
	westLongitude	West Longitude	Westernmost coordinate delimiting the geographic extent of the Dataset. A valid range of values, expressed in decimal degrees, is -180,0 <= West  Bounding Longitude Value <= 180,0.		text	7		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	geographicBoundingBox	geospatial
	eastLongitude	East Longitude	Easternmost coordinate delimiting the geographic extent of the Dataset. A valid range of values, expressed in decimal degrees, is -180,0 <= East Bounding Longitude Value <= 180,0.		text	8		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	geographicBoundingBox	geospatial
	northLongitude	North Latitude	Northernmost coordinate delimiting the geographic extent of the Dataset. A valid range of values, expressed in decimal degrees, is -90,0 <= North Bounding Latitude Value <= 90,0.		text	9		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	geographicBoundingBox	geospatial
	southLongitude	South Latitude	Southernmost coordinate delimiting the geographic extent of the Dataset. A valid range of values, expressed in decimal degrees, is -90,0 <= South Bounding Latitude Value <= 90,0.		text	10		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	geographicBoundingBox	geospatial
#controlledVocabulary	DatasetField	Value	identifier	displayOrder											
	country	Austria		0											
	country	Afghanistan		1											
	country	Åland Islands		2											
	country	Albania		3											
	country	Algeria		4											
	country	American Samoa		5											
	country	Andorra		6											
	country	Angola		7											
	country	Anguilla		8											
	country	Antarctica		9											
	country	Antigua and Barbuda		10											
	country	Argentina		11											
	country	Armenia		12											
	country	Aruba		13											
	country	Australia		14											
	country	Azerbaijan		15											
	country	Bahamas		16											
	country	Bahrain		17											
